s,fps,draws_per_frame,tris_per_frame,heap_mb,over50,over500,max_frame_ms,alive,phase
0,44,1475.6,115499,586.3,0,0,31.1,true,active
1,49,1435.9,114740,275.5,1,0,74.5,true,active
2,44,1408.4,114271,376.1,1,0,76.4,true,active
3,44,1375.5,113276,473.2,1,0,91.2,true,active
4,51,1352.5,112423,604.5,1,0,69,true,active
5,40,1173.3,98094,303.1,2,0,71.8,true,active
6,37,1360.9,123211,366.4,1,0,96.5,true,active
7,50,1303.5,107871,363.2,1,0,79.5,false,active
8,66,1413.8,127288,375.1,1,0,100.1,false,active
9,50,1513.1,123174,375,1,0,65.6,true,active
10,45,1578.1,135530,381.1,1,0,89.2,true,active
11,47,1622,137180,369,1,0,72,true,active
12,49,1637.5,137485,386.9,1,0,70.1,true,active
13,40,1627.7,137270,387.5,1,0,95.1,true,active
14,34,1600.8,131222,366.8,1,0,95.8,true,active
15,43,1584.8,128938,393.4,2,0,96.9,true,active
16,50,1596.7,129142,374.3,1,0,52.7,false,active
17,55,1617.2,129487,401.1,1,0,88.6,false,active
18,49,1607,135655,393.8,1,0,88,true,active
19,46,1613,130231,404.1,1,0,88.8,true,active
20,54,932.5,63439,383.1,1,0,88.5,true,active
21,57,891.6,60944,393.7,1,0,83.2,false,active
22,78,976.4,72545,392.8,1,0,98.3,true,active
23,62,856.2,61932,414.2,1,0,85.5,true,active
24,53,801.4,57075,416.1,1,0,67.8,true,active
25,55,787.5,56780,287.5,2,0,70.5,false,active
26,78,874.8,65790,285.1,1,0,78.4,true,active
27,64,856.6,61508,282.4,1,0,71,true,active
28,51,891.7,60280,282.6,1,0,69,true,active
29,64,894,64274,288.3,1,0,83.6,false,active
30,-5835,-2367640,-185589231,287,0,0,0,,
31,407,0,0,379.2,1,0,122.5,true,warmup
32,1278,0,0,437.9,0,0,16.5,true,warmup
33,1905,0,0,446,0,0,15.8,true,warmup
34,2124,0,0,425.1,0,0,13.5,true,warmup
35,2152,0,0,433.2,0,0,9.5,true,warmup
36,1980,0,0,441.2,0,0,10.8,true,warmup
37,2160,0,0,417,0,0,15.8,true,warmup
38,1593,0,0,311.3,0,0,16.7,true,warmup
39,1834,0,0,319.6,0,0,15.3,true,warmup
40,1995,0,0,327.6,0,0,14.7,true,warmup
41,2200,0,0,335.5,0,0,13.2,true,warmup
42,-19474,0,0,213.3,0,0,0,,
43,909,0,0,192.2,0,0,42,true,warmup
44,797,0,0,213.7,0,0,26.9,true,warmup
