s,segment,fps,draws_per_frame,tris_per_frame,heap_mb,over50,over500,max_frame_ms,longtasks,alive,phase
1,0,41,1467.6,118222,447.9,0,0,30.1,0,true,active
2,0,44,1324.1,76786,518.8,1,0,90.6,0,true,active
3,0,49,1403.7,116288,622,1,0,84.9,0,true,active
4,0,45,1341.9,112756,336.5,1,0,70.3,0,true,active
5,0,40,1315.8,111908,404.4,1,0,84.6,0,true,active
6,0,39,1347.7,113578,470.8,1,0,102.6,0,true,active
7,0,40,1349.7,115291,563.9,1,0,96.4,0,true,active
8,0,36,1443.2,117765,619.8,1,0,73.7,0,true,active
9,0,38,1405.9,118007,628.9,1,0,96.6,0,true,active
10,0,41,1524.3,127285,273,1,0,89.6,0,true,active
11,0,57,1442.9,116181,297.1,2,0,75.4,1,true,active
12,0,48,1510.6,119439,275.8,1,0,66.2,0,true,active
13,0,45,1542.8,120144,279.9,1,0,87.4,0,true,active
14,0,55,1495.4,119075,304,1,0,68.1,0,true,active
15,0,54,1502.3,119237,292.4,1,0,70.3,0,true,active
16,0,46,1538.7,120065,298,1,0,86.9,0,true,active
17,0,51,1440.3,114504,311.9,1,0,85.5,0,true,active
18,0,53,1504.1,119056,329.6,1,0,60.4,0,true,active
19,,ERROR:recovery-failed
