s,segment,fps,draws_per_frame,tris_per_frame,heap_mb,over50,over500,max_frame_ms,longtasks,alive,phase
1,0,56,1417.9,111820,405,0,0,33.4,0,true,active
2,0,54,1276.6,76905,270.8,1,0,87.7,0,true,active
3,0,59,1353.7,110112,260.2,1,0,98.9,0,true,active
4,0,65,1291.1,106982,260.4,1,0,67.5,0,true,active
5,0,57,1300.5,108557,276,1,0,82.3,0,true,active
6,0,50,1258.8,103652,277.8,1,0,85,0,true,active
7,0,53,1298.3,108830,285.2,1,0,89.9,0,true,active
8,0,54,1393,111347,295.6,1,0,79.9,0,true,active
9,0,42,1284.5,111123,289.9,2,0,86.1,0,false,active
10,0,48,1515.9,130223,275.6,2,0,119.8,1,false,active
11,0,42,1509.6,117807,268.5,1,0,84.4,0,true,active
12,0,52,1555.1,130717,286.8,1,0,112.1,0,true,active
13,0,52,1580.5,131533,272.8,1,0,89.1,0,true,active
14,0,51,1539.9,130816,289.6,1,0,85.8,0,true,active
15,0,49,1548.9,130949,270.2,1,0,89.4,0,true,active
16,0,52,1570.8,127359,277.7,1,0,86.7,0,true,active
17,0,52,1543,127048,281.6,1,0,84.5,0,true,active
18,0,59,1560.1,136843,296.9,1,0,65.8,0,true,active
19,0,62,1294.5,104015,282,1,0,67.1,0,true,active
20,0,51,1438.7,123118,286.3,1,0,85.2,0,true,active
21,0,59,898,88128,290.5,1,0,88.8,0,true,active
22,0,55,786,78657,279.2,1,0,83.2,0,false,active
23,0,96,869.1,81572,278.4,1,0,93.7,0,false,active
24,0,70,758.5,66632,270.6,1,0,76.9,0,true,active
25,0,60,757.7,59608,277.8,1,0,82.9,0,true,active
26,0,53,831.8,62461,273.7,1,0,84.2,0,true,active
27,0,61,758.3,59658,291.6,1,0,82.8,0,false,active
28,0,84,851.1,63577,270.9,1,0,111.1,0,false,active
29,0,62,1304.2,123126,269.8,1,0,79,0,true,active
30,0,61,943,85770,284.4,1,0,83.8,0,true,active
31,0,53,884,82212,281.5,1,0,90.2,0,true,active
32,0,52,937.5,86774,283,1,0,84.2,0,true,active
33,0,53,935.1,86119,276.2,1,0,86.3,0,true,active
34,0,62,952.7,99247,266.5,1,0,113.7,0,true,active
35,0,66,954,99510,261.8,1,0,69.3,0,true,active
36,0,61,936.2,90425,282.2,1,0,79.3,0,true,active
37,0,57,953.7,99357,269.1,1,0,84.2,0,true,active
38,0,61,900.9,82965,279.7,1,0,83.5,0,true,active
39,0,58,934.4,86052,288.6,1,0,84.7,0,true,active
40,0,64,878.8,82166,273.9,1,0,85.1,0,true,active
41,0,93,231.1,46021,304.5,1,0,81,0,true,active
42,0,82,201.4,45795,290.4,1,0,58.7,0,true,active
43,0,75,207,45722,298.4,1,0,78.5,0,true,active
44,0,82,199.3,45773,281.9,1,0,97.9,0,true,active
45,0,89,195.5,44754,290.6,1,0,81.7,0,false,active
