s,segment,fps,draws_per_frame,tris_per_frame,heap_mb,over50,over500,max_frame_ms,longtasks,alive,phase
1,0,36,1465.2,115457,515.3,0,0,47.3,0,true,active
2,0,39,1346.8,96908,597.1,1,0,114.2,0,true,active
3,0,40,1336,107557,286.2,1,0,71.9,0,true,active
4,0,43,1333.9,98971,356.3,1,0,88.4,0,true,active
5,0,36,1350.8,112152,433.7,1,0,96.4,0,true,active
6,0,33,1388.9,113950,464.7,1,0,114.4,0,true,active
7,0,39,1358,118940,550.7,1,0,105.4,0,true,active
8,0,41,1377.5,111655,616.9,2,0,93.2,1,true,active
9,0,40,1412.5,114547,290.6,1,0,74.5,0,true,active
10,0,42,1545.4,117451,345.7,1,0,97.5,0,true,active
11,0,45,1476.9,115725,343.3,1,0,87.9,0,true,active
12,0,45,1514,116798,343.1,1,0,88,0,true,active
13,0,50,1543.7,117463,355.5,1,0,71.7,0,true,active
14,0,50,1499.1,116453,368.5,1,0,71.8,0,true,active
15,0,46,1508.6,116772,370.1,1,0,70.3,0,true,active
16,0,38,1549.4,119480,357.8,1,0,92.4,0,true,active
17,0,39,1510.1,118088,347.4,1,0,97.1,0,true,active
18,0,41,1471.4,114017,369,2,0,99.2,1,true,active
19,0,45,1548,117531,372.7,1,0,87.6,0,true,active
20,0,47,1424.8,114776,376,1,0,66.3,0,true,active
21,0,57,846.9,57939,384.3,1,0,67.7,0,false,active
22,0,77,825.4,75575,364,1,0,109.2,0,false,active
23,0,50,1375.1,119944,363.1,1,0,79,0,true,active
24,0,47,826.8,77216,389.8,1,0,88.2,0,true,active
25,0,44,817.4,75487,389.9,1,0,108.2,0,false,active
26,0,73,905.3,90780,372.3,1,0,113.8,0,false,active
27,0,56,1260,129674,397.5,1,0,96.1,0,true,active
28,0,47,941,96116,394.4,1,0,92.5,0,true,active
29,0,42,924.5,92000,381.1,1,0,109.5,0,false,active
30,0,70,987.2,98628,388.4,1,0,96.6,0,false,active
31,0,55,1334.7,135373,405.3,1,0,96.6,0,true,active
32,0,41,1012.6,103262,393.7,1,0,85,0,true,active
33,0,45,985,96916,381.5,1,0,91.9,0,false,active
34,0,70,982.8,89553,387.2,1,0,85,0,false,active
35,0,48,1504.7,160372,400,1,0,94.9,0,true,active
36,0,52,997.6,97324,409.2,1,0,89.8,0,true,active
37,0,39,993.6,98497,279.6,3,0,87.2,1,false,active
38,0,57,965.6,102781,273.4,1,0,87.5,0,false,active
39,0,63,1128,114209,286.5,1,0,83.2,0,true,active
40,0,55,945.5,94205,268,1,0,93.8,0,true,active
41,0,71,261.8,42125,284.8,1,0,98.5,0,true,active
42,0,62,226.8,41419,291.4,1,0,69.8,0,true,active
43,0,58,231.3,41338,292.4,1,0,84.2,0,true,active
44,0,75,224.7,41400,281.2,1,0,66.9,0,true,active
45,0,60,225.3,41407,307.7,1,0,79.6,0,true,active
46,0,53,228.3,41337,270.7,2,0,77,1,true,active
47,0,68,225.6,41411,277.8,1,0,91.9,0,true,active
48,0,76,239.5,40214,284.8,1,0,97.5,0,false,active
49,0,101,231.1,41328,274.8,1,0,74.7,0,false,active
50,0,55,1009.8,118390,275,1,0,75.1,0,true,active
51,0,65,274.4,43583,286.1,1,0,88.6,0,true,active
52,0,77,295.9,45219,286.4,1,0,80.4,0,true,active
53,0,67,282.2,43464,288.7,1,0,79.3,0,true,active
54,0,69,295.8,45307,279.2,1,0,81.8,0,true,active
55,0,78,294.7,43788,275.7,1,0,95.4,0,true,active
56,0,77,284.1,42473,300.7,1,0,78.2,0,true,active
57,0,72,293.8,42915,286.2,1,0,79.5,0,true,active
58,0,65,262.8,41746,288.8,1,0,79,0,true,active
59,0,68,275,41757,284.2,1,0,67.2,0,false,active
60,0,120,234.4,41432,303.4,1,0,75.7,0,false,active
61,0,50,1312.2,137520,293.7,1,0,73,0,true,active
62,0,50,979.5,114023,301.2,1,0,91.7,0,true,active
63,0,60,967.2,114194,296.5,1,0,65.6,0,true,active
64,0,61,966.1,113100,294.7,1,0,80.4,0,true,active
65,0,45,955.7,104929,286.5,1,0,89.5,0,true,active
66,0,49,956.9,102716,287.8,1,0,107.2,0,true,active
67,0,61,953.1,102031,275.7,1,0,81.1,0,true,active
68,0,61,1001.2,104427,296.2,1,0,79.3,0,true,active
69,0,54,957.8,103156,273.4,1,0,68.2,0,true,active
70,0,52,1043.7,104304,278.4,1,0,65.5,0,true,active
71,0,58,1022.4,104720,291.6,1,0,84.1,0,true,active
72,0,56,1049.5,103725,281.4,1,0,70.6,0,true,active
73,0,50,1050,103966,283.9,1,0,91,0,true,active
74,0,54,1047.1,103614,291.8,1,0,85,0,true,active
75,0,60,1046,103595,278.6,1,0,67.1,0,true,active
76,0,59,1052.9,104000,295.5,1,0,65.3,0,true,active
77,0,51,1046.6,103929,295.3,1,0,67,0,true,active
78,0,57,1033.2,104730,304.8,1,0,65.7,0,true,active
79,0,59,1049.7,103984,281.1,1,0,81.2,0,true,active
80,0,57,964.5,103429,292.6,1,0,67.7,0,true,active
81,0,71,460.2,49678,272.4,1,0,67.9,0,true,active
82,0,82,383.9,47962,268.1,1,0,79.6,0,true,active
83,0,81,374.1,47405,291.4,1,0,76.7,0,true,active
84,0,69,392.2,48554,272.2,1,0,77.5,0,true,active
85,0,71,388.1,48147,282.7,1,0,85.9,0,true,active
86,0,84,370.2,47616,281.8,1,0,81.6,0,true,active
87,0,90,387.8,48140,288,1,0,76,0,true,active
88,0,72,418.6,48126,290.1,1,0,79.1,0,true,active
89,0,62,375,47415,290,1,0,70.6,0,true,active
90,0,64,468,49452,291.3,1,0,68.7,0,true,active
91,0,67,454,49275,294.2,1,0,68.3,0,true,active
92,0,61,465.7,47390,290.4,1,0,80.7,0,false,active
93,0,92,461,38074,296,1,0,81.1,0,false,active
94,0,81,745.8,63506,282,1,0,75.9,0,true,active
95,0,76,481.5,50508,284.7,1,0,69.8,0,true,active
96,0,64,468,49305,286.6,1,0,77.3,0,true,active
97,0,59,469.9,51382,293.7,1,0,85,0,true,active
98,0,64,465,49564,272.5,1,0,74,0,true,active
99,0,89,461.1,38200,279.9,1,0,78.5,0,false,active
100,0,63,504.6,47204,282.8,1,0,74.5,0,true,active
101,0,42,1640.2,148299,275.4,1,0,95.4,0,true,active
102,0,50,1555.7,146148,287.1,1,0,85.4,0,true,active
103,0,49,1582.4,146686,296.9,1,0,69.8,0,true,active
104,0,42,1547.9,145901,290.7,1,0,89.4,0,true,active
105,0,49,1549.8,145044,294.2,1,0,91.3,0,true,active
106,0,50,1557.7,138646,263.6,1,0,80.2,0,true,active
107,0,42,1543.1,138290,284.2,1,0,93.4,0,true,active
108,0,40,1630.4,140592,270.8,1,0,90.3,0,true,active
109,0,52,1575.9,138998,276.1,1,0,92.3,0,true,active
110,0,54,1580.2,139809,283.4,1,0,67.4,0,true,active
111,0,45,1631,140574,302.5,1,0,80.7,0,true,active
112,0,43,1460.7,137186,288.4,1,0,88.8,0,true,active
113,0,48,1541,138968,285.7,1,0,93.6,0,true,active
114,0,52,1441.5,136883,290.2,1,0,69.8,0,true,active
115,0,48,1449.3,136981,285.8,1,0,71.3,0,true,active
116,0,47,1509.1,138081,313.6,1,0,71.8,0,true,active
117,0,46,1451,137034,290.8,1,0,74.3,0,true,active
118,0,45,1628.1,140550,283.7,1,0,89.2,0,true,active
119,0,43,1561.9,149970,273.5,1,0,89.3,0,true,active
120,0,47,1598.3,130826,270.7,1,0,85.3,0,true,active
121,0,54,1541.3,128477,275.4,1,0,74.8,0,true,active
122,0,49,1617,129525,274.9,1,0,70.8,0,true,active
123,0,37,1626.4,129921,283.4,1,0,89.8,0,true,active
124,0,46,1613.5,129359,286.9,1,0,92.1,0,false,active
125,0,60,1616,129476,273.4,1,0,95.9,0,false,active
126,0,49,1619.7,121491,273.1,1,0,81.3,0,true,active
127,0,41,1605.5,118690,264.9,1,0,85.7,0,true,active
128,0,42,1577.6,121283,287.3,1,0,92.3,0,true,active
129,0,45,1614.4,119166,284.2,1,0,73.3,0,true,active
130,0,44,1372.5,116276,278.5,1,0,68.5,0,true,active
131,0,46,1526.6,117687,272.4,1,0,83.6,0,true,active
132,0,54,1309.2,111233,282.7,1,0,76.7,0,true,active
133,0,54,1328.6,112502,292,1,0,73.5,0,true,active
134,0,48,1295.7,110828,287.9,1,0,67.1,0,true,active
135,0,47,1299.9,110943,280.2,1,0,85.4,0,true,active
136,0,53,1319.6,112341,286.2,1,0,72.2,0,true,active
137,0,54,1300.4,110972,292.5,1,0,67.6,0,true,active
138,0,46,1473.2,116321,283.7,1,0,70.9,0,true,active
139,0,48,1330.6,112601,280,1,0,87.2,0,true,active
140,0,48,1608.6,118839,278.4,1,0,68.2,0,true,active
141,0,49,935.2,63073,260.6,1,0,87.2,0,true,active
142,0,59,953.6,61952,271.4,1,0,89.8,0,false,active
143,0,74,973.8,66368,268.6,1,0,94.8,0,true,active
144,0,58,972.8,64442,273.1,1,0,90.3,0,true,active
145,0,51,961.4,63058,269.5,1,0,67.7,0,false,active
146,0,68,943.3,63107,288.4,1,0,84.5,0,false,active
147,0,52,1310.7,118561,291.2,1,0,95.7,0,true,active
148,0,51,963.6,78723,294.1,1,0,69.4,0,true,active
149,0,50,964.5,80686,287,1,0,70,0,false,active
150,0,67,847.8,84379,280.9,1,0,86,0,false,active
151,0,47,1369.2,141799,309.6,1,0,82.2,0,true,active
152,0,48,839.4,91390,306.6,1,0,86.5,0,true,active
153,0,50,835.6,84167,294.1,1,0,87.1,0,false,active
154,0,65,804.7,97674,263.6,1,0,83.7,0,false,active
155,0,52,1236.2,140338,270.8,1,0,111.5,0,true,active
156,0,53,855,97590,276.9,1,0,90,0,true,active
157,0,43,821.1,95278,293,1,0,88.6,0,true,active
158,0,42,935.5,97780,280.1,1,0,90,0,false,active
159,0,63,850.7,96002,275.9,1,0,85.3,0,false,active
160,0,52,1409.4,150917,283.1,1,0,78.4,0,true,active
161,0,42,1030.1,167055,264.1,1,0,86.6,0,true,active
162,0,39,918.9,163523,280.8,1,0,94,0,true,active
163,0,44,951.7,164479,281.6,1,0,106.3,0,false,active
164,0,73,896.2,160955,297.5,1,0,84.5,0,false,active
165,0,56,1185.3,171893,298.3,1,0,79.2,0,true,active
166,0,48,945.4,157069,296.7,1,0,91.4,0,true,active
167,0,47,915.9,166451,291.6,1,0,85.5,0,true,active
168,0,48,983.3,159941,290,1,0,88.2,0,true,active
169,0,50,936.6,148924,290,1,0,83.6,0,true,active
170,0,50,1062.4,150572,287.1,1,0,67.6,0,true,active
171,0,57,996.2,148069,291.7,1,0,81.7,0,true,active
172,0,53,1080.2,147248,293.1,1,0,68.9,0,true,active
173,0,43,1071.5,138702,306.1,1,0,88.7,0,true,active
174,0,39,1080.1,138615,311.9,1,0,88.2,0,true,active
175,0,46,1076.3,138562,280.2,3,0,89.4,1,false,active
176,0,69,1069.6,135034,276.7,1,0,77.5,0,false,active
177,0,47,1066.3,127666,275.6,1,0,96.1,0,true,active
178,0,42,999.1,127093,290.9,1,0,92.6,0,true,active
179,0,47,1069.9,129794,287.2,1,0,91.1,0,true,active
180,0,54,905.2,118965,284.9,1,0,73.3,0,false,active
181,0,71,336.5,45642,272.8,1,0,82.6,0,false,active
182,0,52,954.6,106263,289.6,1,0,96.8,0,true,active
183,0,84,353.2,49191,293.4,1,0,91,0,true,active
184,0,77,368.6,48599,286.2,1,0,76.8,0,true,active
185,0,69,358.2,48480,298.5,1,0,95.7,0,true,active
186,0,67,336.3,47700,275.6,1,0,97.4,0,true,active
187,0,80,357.7,48468,296.9,1,0,76.9,0,true,active
188,0,83,346.1,47664,293.5,1,0,78.7,0,true,active
189,0,65,338.1,47743,283.5,1,0,78.4,0,true,active
190,0,69,338,44884,288.9,1,0,94.6,0,true,active
191,0,80,342.9,46655,274.9,1,0,92.7,0,true,active
192,0,81,305.6,44304,294,1,0,76.9,0,true,active
193,0,69,327,44681,298.6,1,0,66.3,0,true,active
194,0,69,295.9,44020,302,1,0,80.6,0,true,active
195,0,67,298.4,44197,301.4,1,0,80.5,0,true,active
196,0,63,321.2,44536,288.7,1,0,66.8,0,false,active
197,0,71,301.1,45281,294,1,0,96.2,0,false,active
198,0,60,877.8,94343,287.1,1,0,95.6,0,true,active
199,0,84,343.9,46041,293.7,1,0,88,0,true,active
200,0,77,341.8,47704,287,1,0,80.4,0,true,active
201,0,39,1565.8,155266,303.1,1,0,96.3,0,true,active
202,0,43,1466.9,149937,299.1,1,0,111.5,0,true,active
203,0,50,1489.4,140934,301.9,1,0,87,0,true,active
204,0,41,1435.6,135798,281,1,0,86.5,0,true,active
205,0,38,1439.2,135990,289.8,1,0,97.9,0,true,active
206,0,41,1481.3,137645,271.6,1,0,89,0,true,active
207,0,48,1450.5,137210,267.5,1,0,70.6,0,true,active
208,0,49,1513.2,127330,295.9,1,0,72.5,0,true,active
209,0,42,1479.9,126580,285.2,1,0,94.8,0,true,active
210,0,47,1625.8,129880,283,1,0,83.3,0,true,active
211,0,53,1570.1,128561,287.5,1,0,68.4,0,true,active
212,0,47,1604.2,129431,284.1,1,0,71.9,0,true,active
213,0,44,1630.4,129960,306.9,1,0,89.8,0,true,active
214,0,52,1589.8,129242,312.9,1,0,73.8,0,true,active
215,0,52,1597.2,129371,286.6,1,0,70.1,0,true,active
216,0,45,1626,129855,310.6,1,0,71.7,0,true,active
217,0,40,1604.3,133327,292.7,1,0,88.7,0,true,active
218,0,46,1613.8,138009,318.6,1,0,90.6,0,true,active
219,0,51,1630.4,129962,322,1,0,68.5,0,true,active
220,0,43,1492.3,126917,262.4,2,0,69.5,0,true,active
221,0,47,947.4,91384,281.1,1,0,92.3,0,true,active
222,0,66,823,83525,281.4,1,0,69.6,0,false,active
223,0,78,918.2,86939,283.1,1,0,76.8,0,false,active
224,0,43,1454.8,127469,273,1,0,95.8,0,true,active
225,0,52,830.9,74742,299.7,1,0,90.7,0,true,active
226,0,56,891.3,76092,274.8,1,0,70.1,0,true,active
227,0,56,802.4,57306,273.9,1,0,83.5,0,true,active
228,0,60,900.1,67254,287.2,1,0,89.3,0,false,active
229,0,73,925,64153,278,1,0,95,0,true,active
230,0,54,983.8,82199,283.2,1,0,75.4,0,true,active
231,0,54,907.9,61274,308.3,1,0,68.9,0,true,active
232,0,45,961.2,65778,295.4,1,0,85.5,0,true,active
233,0,61,954.3,64369,273.9,1,0,126.6,1,false,active
234,0,76,980.2,85792,281.1,1,0,77.3,0,false,active
235,0,50,970.7,73635,275.5,1,0,79.8,0,true,active
236,0,45,954.4,63371,267,1,0,90.3,0,false,active
237,0,75,977.1,80001,274.7,1,0,87,0,false,active
238,0,68,1175.7,101304,296.8,1,0,78,0,true,active
239,0,55,969.9,65402,277.3,1,0,85.3,0,true,active
240,0,50,903.1,60907,273.4,1,0,85.9,0,true,active
241,0,86,261.5,41817,281.2,1,0,82.2,0,true,active
242,0,87,228.3,41604,292.2,1,0,77.5,0,true,active
243,0,80,232.9,41521,289.9,1,0,77.3,0,true,active
244,0,80,226.1,41579,281.5,1,0,80.7,0,true,active
245,0,87,227,41592,285.1,1,0,79.4,0,true,active
246,0,87,232.3,41551,289.3,1,0,62.9,0,true,active
247,0,76,227.4,41592,305.9,1,0,81.1,0,true,active
248,0,70,248.3,41500,312.8,1,0,79.1,0,true,active
249,0,90,235.3,41544,319.6,1,0,78.1,0,true,active
250,0,87,281.2,42364,321.5,1,0,60.9,0,true,active
251,0,68,255.1,41619,322.2,1,0,78.8,0,true,active
