s,segment,fps,draws_per_frame,tris_per_frame,heap_mb,over50,over500,max_frame_ms,longtasks,alive,phase
1,0,47,1351,106488,353.7,0,0,34.8,0,true,active
2,0,53,1291.8,94773,367.9,1,0,104.2,0,true,active
3,0,59,1349.2,108301,363.5,1,0,66.7,0,true,active
4,0,45,1296.2,110875,392.5,1,0,66.2,0,true,active
5,0,42,1287.3,102258,383.3,1,0,93,0,true,active
6,0,47,1324.6,110391,387.3,1,0,91.1,0,false,active
7,0,64,1362.7,126887,414.1,2,0,97.7,1,false,active
8,0,52,1487.9,132024,425.4,1,0,98,0,true,active
9,0,46,1433.5,130594,403.5,1,0,88.5,0,true,active
10,0,41,1574.9,133861,434.8,1,0,88.9,0,true,active
11,0,50,1519.6,132551,414.6,1,0,90.1,0,true,active
12,0,43,1552.5,133286,445.2,1,0,92.1,0,true,active
13,0,43,1589.2,140632,437.3,1,0,88.7,0,true,active
14,0,47,1533.1,129627,437.7,1,0,99.9,0,true,active
15,0,38,1539,127933,282.7,2,0,73.7,0,true,active
16,0,41,1584.2,139377,274.5,1,0,89,0,false,active
17,0,57,1543.7,129910,289.7,1,0,90.8,0,false,active
18,0,58,1547.9,121494,303.4,1,0,80,0,true,active
19,0,53,1570.9,128318,293,1,0,81.9,0,true,active
20,0,42,1438.6,127039,287.2,1,0,89.4,0,true,active
21,0,46,876.7,64888,302.6,1,0,113,0,true,active
22,0,70,766.5,59982,322.6,1,0,84.9,0,false,active
23,0,86,890.2,68237,320.5,1,0,109.2,0,true,active
24,0,60,762.4,61045,331.2,1,0,85.8,0,true,active
25,0,49,757.2,59613,326.7,1,0,85.3,0,false,active
26,0,76,832,62474,346,1,0,90.5,0,false,active
27,0,61,853.4,73859,345.4,1,0,94.9,0,true,active
28,0,52,868.7,65507,346,1,0,88.2,0,true,active
29,0,44,853.4,62969,364.6,1,0,99.5,0,false,active
30,0,60,914.6,65960,288.4,2,0,112.9,1,false,active
31,0,75,1004,87137,284.2,1,0,94.6,0,true,active
32,0,51,935.6,71691,284.6,1,0,86,0,true,active
33,0,46,912.6,65918,308.3,1,0,104.9,0,false,active
34,0,67,905.5,68230,298.6,1,0,109.4,0,false,active
35,0,64,1066,95909,312,1,0,99.3,0,true,active
36,0,53,923.9,67839,315.5,1,0,103.3,0,true,active
37,0,45,918.2,66559,334.2,1,0,85,0,true,active
38,0,72,881.6,66001,321.8,1,0,91.7,0,false,active
39,0,58,1013.7,85883,346.8,1,0,93.2,0,true,active
40,0,52,876,68517,351.6,1,0,109.4,0,true,active
41,0,82,232.8,45872,355.7,1,0,84.6,0,true,active
42,0,102,201.5,45794,362.7,1,0,75.9,0,true,active
43,0,76,206.8,45724,289.7,2,0,74.6,1,true,active
44,0,69,200,45779,270.6,1,0,106.3,0,true,active
45,0,71,201.3,45802,279.8,1,0,79.1,0,true,active
46,0,103,203.3,45713,303.1,1,0,76.9,0,true,active
47,0,83,200.5,45791,297.4,1,0,74.9,0,true,active
48,0,94,217.5,45168,315.9,1,0,75.8,0,false,active
49,0,112,232.3,48466,325.9,1,0,74.6,0,true,active
50,0,75,268.3,47793,321.6,1,0,90.8,0,true,active
51,0,72,224.8,45642,336.6,1,0,79.7,0,true,active
52,0,70,265.4,50138,351.7,1,0,96.4,0,true,active
53,0,87,260.8,53926,363.4,1,0,83.2,0,false,active
54,0,70,430.7,63989,361.7,1,0,94.3,0,true,active
55,0,75,279.7,48383,357.2,1,0,107.9,0,true,active
56,0,64,252.5,46136,366.4,1,0,98,0,true,active
57,0,70,262.1,46575,381.4,1,0,98.6,0,true,active
58,0,66,234.9,45781,390,1,0,80.1,0,true,active
59,0,77,244.2,45448,392.9,1,0,85.8,0,false,active
60,0,113,210.9,47136,406.8,1,0,89.1,0,false,active
61,0,47,1494.3,157119,411.7,1,0,73.1,0,true,active
62,0,58,925.7,113037,410.2,1,0,87.1,0,true,active
63,0,59,913,112633,435.6,1,0,97.4,0,true,active
64,0,54,912,111682,271.2,2,0,99.4,1,true,active
65,0,45,899.5,101123,272.1,1,0,102.2,0,true,active
66,0,49,902.9,101333,275,1,0,100.2,0,true,active
67,0,56,899.1,100648,288,1,0,84.9,0,true,active
68,0,55,949.1,103076,287.3,1,0,98.1,0,true,active
69,0,60,903.8,101770,278.4,1,0,97.5,0,true,active
70,0,63,990.6,102672,304.2,1,0,96.7,0,true,active
71,0,57,969.4,103332,291.5,1,0,85.6,0,true,active
72,0,54,996.5,102368,287,1,0,81.5,0,true,active
73,0,57,997,102609,274.1,1,0,85.7,0,true,active
74,0,59,994.1,102256,292.7,1,0,67,0,true,active
75,0,61,993,102238,259.8,1,0,81.9,0,true,active
76,0,62,999.9,102643,280.4,1,0,84.1,0,true,active
77,0,58,993.1,102244,291.3,1,0,82.8,0,true,active
78,0,57,981.2,103371,274.3,1,0,87.7,0,true,active
79,0,55,997,102875,262.3,1,0,83.1,0,true,active
80,0,64,910.4,102044,282.9,1,0,83.9,0,true,active
81,0,82,422,50463,271.3,1,0,84.9,0,true,active
82,0,78,344.9,48851,285.8,1,0,78.6,0,true,active
83,0,72,337.1,48322,277,1,0,95.8,0,true,active
84,0,70,352.9,49106,280.5,1,0,96.3,0,true,active
85,0,73,350.3,49045,289.4,1,0,82,0,true,active
86,0,83,333.3,48534,277.6,1,0,78,0,true,active
87,0,68,348.9,49030,258.4,1,0,80.9,0,true,active
88,0,73,376.4,48372,278.1,1,0,89.9,0,false,active
89,0,107,338.8,48744,268.1,1,0,74.2,0,false,active
90,0,56,1267.8,114798,271.6,1,0,75.5,0,true,active
91,0,85,428.8,50798,271.1,1,0,86,0,true,active
92,0,81,428.8,50123,300.1,1,0,79.3,0,true,active
93,0,65,429.2,50130,265.6,1,0,97.2,0,true,active
94,0,56,432.3,51074,261.3,1,0,99.6,0,true,active
95,0,72,430.9,50311,264.5,1,0,85.6,0,true,active
96,0,73,426.3,49645,273.3,1,0,70.2,0,false,active
97,0,83,487.8,54714,299,1,0,96.4,0,true,active
98,0,69,445.8,51519,279.5,1,0,86.8,0,true,active
99,0,66,431,50131,285.7,1,0,84.7,0,true,active
100,0,74,353.1,50020,302.5,1,0,94.3,0,true,active
101,0,52,1557.6,142704,309.8,1,0,77.5,0,true,active
102,0,50,1500.4,142345,313.4,1,0,88.6,0,true,active
103,0,45,1514.4,137489,303.7,1,0,89,0,true,active
104,0,47,1484.4,136788,296.7,1,0,87.6,0,true,active
105,0,49,1496.1,141935,322.7,1,0,84.5,0,true,active
106,0,46,1516.1,144924,283.6,1,0,94.2,0,true,active
107,0,45,1489.4,136912,273.5,1,0,87,0,true,active
108,0,52,1569.5,139051,276,1,0,87.2,0,true,active
109,0,54,1518,137558,279.9,1,0,83.2,0,true,active
110,0,45,1521.9,138348,298.7,1,0,84,0,true,active
111,0,46,1570.1,139079,284.5,1,0,86.4,0,true,active
112,0,48,1404.2,135785,307.5,1,0,85.2,0,true,active
113,0,57,1481,137447,283.5,1,0,84.2,0,true,active
114,0,58,1390.2,138946,293.8,1,0,80,0,true,active
115,0,48,1399.7,139876,316.9,1,0,88,0,true,active
116,0,43,1440.3,125725,300,1,0,90.5,0,true,active
117,0,49,1383.9,124686,324.4,1,0,86.5,0,true,active
118,0,45,1560.3,128191,283.1,1,0,68.7,0,true,active
119,0,47,1475.7,126626,277.1,1,0,93.4,0,true,active
120,0,48,1535.1,127338,269.9,1,0,86.1,0,true,active
121,0,61,1481.2,127024,281.7,1,0,101,0,false,active
122,0,56,1547.9,130779,296.8,1,0,95.9,0,true,active
123,0,48,1556.9,119923,299.3,1,0,85.9,0,true,active
124,0,51,1543.5,117008,303.5,1,0,88.5,0,true,active
125,0,49,1557.1,124243,302.2,1,0,88.6,0,true,active
126,0,43,1562.7,123603,291.1,1,0,86,0,true,active
127,0,47,1546.6,117137,282.8,1,0,89.4,0,true,active
128,0,49,1523.8,127741,305.6,1,0,88.1,0,true,active
129,0,49,1558.4,119573,274.4,1,0,67.9,0,false,active
130,0,51,1308.9,112390,266.9,1,0,87.3,0,false,active
131,0,51,1498.5,116491,279.9,1,0,83.4,0,true,active
132,0,55,1252,109830,294,1,0,69.1,0,true,active
133,0,53,1269.9,111077,267.9,1,0,69.8,0,true,active
134,0,44,1237.2,109409,287.5,1,0,86.3,0,true,active
135,0,54,1241.3,109520,292.3,1,0,91.1,0,true,active
136,0,55,1260.9,110916,293.7,1,0,83.1,0,true,active
137,0,52,1252.6,116684,287.7,1,0,88.8,0,true,active
138,0,43,1424.2,121417,300.4,1,0,86.4,0,true,active
139,0,51,1283.1,117572,295.9,1,0,96.7,0,true,active
140,0,59,1562.1,124583,292,1,0,68.2,0,false,active
141,0,74,914.7,68668,314.2,1,0,97.1,0,true,active
142,0,40,927.1,66813,260.7,2,0,100.1,1,true,active
143,0,49,903.5,64953,275,1,0,108.2,0,true,active
144,0,71,918.8,66156,274.5,1,0,85.7,0,false,active
145,0,73,1000.1,74422,281.9,1,0,94,0,true,active
146,0,55,911.6,65922,278.4,1,0,91.9,0,true,active
147,0,49,918,65628,281,1,0,86.6,0,true,active
148,0,76,892.4,64741,276.9,1,0,86.8,0,false,active
149,0,69,967.6,75667,272.8,1,0,76.8,0,true,active
150,0,51,791.2,62741,291.9,1,0,108.2,0,true,active
151,0,57,876.6,64211,290.1,1,0,85.2,0,false,active
152,0,96,745.4,59526,283.3,1,0,81.4,0,false,active
153,0,64,1079.8,97960,294.1,1,0,92.8,0,true,active
154,0,45,737.2,60972,282.2,1,0,105.8,1,true,active
155,0,59,717.5,58052,271.7,1,0,109.1,0,false,active
156,0,93,752.8,59745,291.9,1,0,91.6,0,false,active
157,0,47,1478.9,171014,274.8,1,0,76.7,0,true,active
158,0,48,873.3,65935,296.2,1,0,108.1,0,true,active
159,0,52,777,70318,280.7,1,0,84.4,0,false,active
160,0,77,907.4,68927,289.7,1,0,103.2,0,false,active
161,0,51,1316.5,178924,297.7,1,0,96.5,0,true,active
162,0,49,891.5,171585,302.8,1,0,106.1,0,true,active
163,0,54,907.7,171699,284.1,1,0,101.5,0,true,active
164,0,54,885.7,181617,295.8,1,0,102.4,0,true,active
165,0,47,872.2,172434,322.6,1,0,85.8,0,true,active
166,0,46,889.9,167755,310.2,1,0,92,0,true,active
167,0,56,851.5,155037,270.6,1,0,94.2,0,true,active
168,0,66,928.3,157144,290.1,1,0,80.9,0,true,active
169,0,49,904.9,165060,280.6,1,0,71.5,0,true,active
170,0,47,1024.7,162203,299.8,1,0,89.6,0,true,active
171,0,61,942.5,146717,308.7,1,0,86.3,0,false,active
172,0,67,1029.7,148183,273.1,1,0,98.2,0,false,active
173,0,62,1158.5,155086,273.9,1,0,96,0,true,active
174,0,45,1050,148810,297.4,1,0,88.8,0,true,active
175,0,50,1024.8,137453,297.4,1,0,88.4,0,false,active
176,0,70,1022,137505,302.2,1,0,84.8,0,false,active
177,0,56,1185.2,149460,302.1,1,0,97.8,0,true,active
178,0,52,967.3,134817,306.1,1,0,107.8,0,true,active
179,0,53,1024.9,137500,261.2,1,0,87.7,0,true,active
180,0,52,875.8,125552,295,1,0,94.5,0,true,active
181,0,61,325.1,52067,293.6,1,0,90,0,true,active
182,0,74,318,52107,308.5,1,0,94.3,0,true,active
183,0,90,310.1,51921,311.9,1,0,94.4,0,true,active
184,0,92,339.7,52419,315.8,1,0,76,0,true,active
185,0,64,330.4,52318,314,1,0,77,0,true,active
186,0,97,309,51879,326.6,1,0,82.4,0,false,active
187,0,106,440.1,61892,330.9,1,0,73.5,0,true,active
188,0,83,333.5,53074,332.3,1,0,85.7,0,true,active
189,0,73,310.1,51917,349.6,1,0,94.1,0,true,active
190,0,69,311,49071,280.1,1,0,95.1,0,true,active
191,0,72,317.1,50856,293.7,1,0,85.3,0,true,active
192,0,78,278.7,48486,283.5,1,0,79.1,0,true,active
193,0,58,294.7,48022,297.8,1,0,82.7,0,false,active
194,0,101,265,47713,313.7,1,0,96.3,0,false,active
195,0,79,760.5,91772,303.6,1,0,90.7,0,true,active
196,0,92,307.3,49986,320.2,1,0,82.8,0,true,active
197,0,84,269.3,48360,323.3,1,0,74.4,0,true,active
198,0,67,312.3,49812,269.7,1,0,94.5,0,true,active
199,0,62,300.4,48886,270.6,1,0,113.8,0,true,active
200,0,80,314,52612,293.3,1,0,95.2,0,true,active
201,0,53,1506.1,147065,294.7,1,0,79.3,0,true,active
202,0,50,1408.1,145702,293.2,1,0,89.2,0,true,active
203,0,49,1432.2,136013,320,1,0,84.9,0,true,active
204,0,54,1382.4,134438,324.7,1,0,86.4,0,true,active
205,0,47,1386.2,134636,316.4,1,0,86.9,0,true,active
206,0,43,1426.4,135935,326.6,1,0,107.3,0,false,active
207,0,64,1386.6,134655,318.3,1,0,87.4,0,false,active
208,0,58,1489.8,144848,325.2,1,0,79.4,0,true,active
209,0,45,1434.9,136434,272.7,1,0,83.5,0,true,active
210,0,41,1575.9,139338,265.4,1,0,84.5,0,true,active
211,0,44,1530.8,144672,288,1,0,102.3,0,true,active
212,0,52,1564.8,144920,305.3,1,0,87.5,0,true,active
213,0,44,1572.5,130010,295.8,1,0,87.9,0,true,active
214,0,44,1530.3,127804,313.9,1,0,94.4,0,true,active
215,0,48,1555.9,138942,309.2,1,0,91.5,0,true,active
216,0,50,1570.8,130400,309.3,1,0,69.1,0,true,active
217,0,49,1539.6,127941,311.5,1,0,89.4,0,false,active
218,0,57,1544.8,129440,330.4,1,0,87.8,0,true,active
219,0,45,1571,128521,330.2,1,0,92.2,0,true,active
220,0,45,1436.5,124857,285.4,2,0,88.1,0,true,active
221,0,53,874.9,64502,277.4,1,0,108.4,0,true,active
222,0,55,766.9,59996,255.7,1,0,88.3,0,false,active
223,0,67,849.7,62897,268.8,1,0,112.3,0,false,active
224,0,53,1379.2,134911,275,1,0,94.3,0,true,active
225,0,58,770.9,61252,278.9,1,0,86.3,0,true,active
226,0,47,831.7,62457,295.9,1,0,104.3,0,true,active
227,0,67,757.2,59558,279.6,1,0,100.6,0,false,active
228,0,62,959.5,76143,299.1,1,0,93.3,0,true,active
229,0,65,864.6,64292,284.1,1,0,96.8,0,true,active
230,0,48,913.8,65945,278.4,1,0,83.6,0,false,active
231,0,65,867.7,63963,270.8,1,0,83,0,false,active
232,0,65,1075,105230,280.5,1,0,97.8,0,true,active
233,0,55,926.7,68026,291.3,1,0,107.8,0,true,active
234,0,50,924.5,70524,282.8,1,0,83.3,0,true,active
235,0,52,927.2,74417,302.1,1,0,84.6,0,false,active
236,0,84,916.8,68406,287.3,1,0,86.4,0,false,active
237,0,56,1279.1,132828,298.4,1,0,96.1,0,true,active
238,0,50,893.8,66495,320.9,1,0,91.4,0,true,active
239,0,48,911.4,65892,313.4,1,0,85.6,0,false,active
240,0,80,862.6,67129,334.8,1,0,96.1,0,false,active
241,0,73,485.9,73430,285.2,1,0,93.5,0,true,active
242,0,71,220.1,47858,273.4,1,0,144.7,0,true,active
243,0,80,205.9,45711,302.6,1,0,95,0,true,active
244,0,100,199.8,45779,297.7,1,0,92.9,0,true,active
245,0,91,200.6,45785,310,1,0,73.4,0,true,active
246,0,78,204.1,45722,281.8,1,0,93.9,0,true,active
247,0,79,200.2,45785,269.2,1,0,90.4,0,true,active
248,0,89,219.9,45654,299.8,1,0,77.9,0,true,active
249,0,85,206.3,45713,294,1,0,77,0,true,active
250,0,82,249.6,46038,316.4,1,0,94.4,0,true,active
251,0,88,225.3,45640,312,1,0,78.7,0,true,active
252,0,83,259.7,46492,335.4,1,0,75.6,0,true,active
253,0,91,247.2,46052,338,1,0,77.5,0,true,active
254,0,60,259.9,46566,283.3,1,0,84.7,0,true,active
255,0,76,261.3,46584,296.4,1,0,88.2,0,true,active
256,0,76,250.4,46128,275.9,1,0,93.7,0,true,active
257,0,87,260.2,46573,302.6,1,0,76.3,0,true,active
258,0,73,232.8,45774,310,1,0,78.4,0,false,active
259,0,103,244.5,45595,329.2,1,0,96.6,0,false,active
260,0,103,463.7,66213,312.5,1,0,75.8,0,true,active
261,0,61,999.1,125802,345.4,1,0,86.5,0,true,active
262,0,53,923,121018,257.3,1,0,99.2,0,true,active
263,0,55,913,112646,272.9,1,0,84.8,0,true,active
264,0,65,912,111679,274.4,1,0,99.1,0,true,active
265,0,64,909,111541,300.5,1,0,80.3,0,true,active
266,0,54,912.9,112238,308.1,1,0,84.8,0,true,active
267,0,60,899.6,101192,292.1,1,0,87.6,0,true,active
269,1,54,1154.4,102708,287.9,0,0,33.7,0,true,active
270,1,55,1112.1,100452,305.1,1,0,85.1,0,true,active
271,1,56,1183.3,102586,293.1,1,0,85.2,0,true,active
272,1,55,1152.5,102475,308.4,1,0,66.7,0,true,active
273,1,58,1164.5,95016,297.6,1,0,84.7,0,true,active
274,1,57,1183.7,95634,315,1,0,82.1,0,true,active
275,1,57,1147.4,84050,298.7,1,0,83.2,0,true,active
276,1,56,1147.9,83719,310,1,0,84.2,0,true,active
277,1,59,1168.9,84404,328.6,1,0,67.4,0,true,active
278,1,61,1150.4,87574,274,1,0,66.9,0,true,active
279,1,60,1162.3,97681,265.8,1,0,81.5,0,true,active
280,1,52,1171.2,85716,271.6,1,0,86.1,0,true,active
281,1,50,1121.7,100805,276.4,1,0,83.3,0,true,active
282,1,64,592.8,49035,291.2,1,0,81.7,0,true,active
283,1,64,517,47690,298.7,1,0,85.3,0,true,active
284,1,55,521.6,47721,295,1,0,81.7,0,true,active
285,1,59,519.5,47746,276,1,0,83.3,0,false,active
286,1,82,606.8,65181,308.5,2,0,112.6,1,false,active
287,1,65,813.2,78182,272.6,2,0,93.4,1,true,active
288,1,60,636.6,67910,281,1,0,113,0,true,active
289,1,56,645.5,65082,279.9,1,0,86.6,0,true,active
290,1,90,605.5,65340,291.7,1,0,80.2,0,false,active
291,1,80,789.1,69027,281.6,1,0,110,0,true,active
292,1,53,696.2,60074,278.7,1,0,108.6,0,true,active
293,1,53,660.5,52344,271.6,1,0,102.7,0,true,active
294,1,63,665.3,53393,285.8,1,0,67,0,false,active
295,1,92,661.3,53372,276.2,1,0,96.1,0,false,active
296,1,62,992.5,82766,277.3,1,0,94.2,0,true,active
297,1,50,687.3,53131,296.2,1,0,108.9,0,true,active
298,1,50,659.3,50792,280.1,1,0,87.6,0,true,active
299,1,73,678.7,54957,291.5,1,0,83,0,false,active
300,1,83,664.2,53081,267,1,0,96,0,false,active
301,1,61,604.7,59059,273.8,1,0,92.8,0,true,active
302,1,45,1831.1,164801,277.4,1,0,82.4,0,true,active
303,1,45,1781.4,165159,281.2,1,0,87.3,0,true,active
304,1,37,1805.2,165627,298.3,1,0,105.9,0,true,active
305,1,47,1772.9,164887,274.2,1,0,114.1,0,true,active
306,1,48,1768,159699,304.5,1,0,85.6,0,true,active
307,1,43,1783.9,159983,293,1,0,70.7,0,true,active
308,1,36,1785.1,170515,300.3,1,0,94.6,0,true,active
309,1,44,1851.9,163259,292.2,1,0,91.3,0,true,active
310,1,50,1798,160278,295.8,1,0,91.3,0,true,active
311,1,45,1800.1,161007,290.1,1,0,84.7,0,true,active
312,1,42,1850.9,161263,305.4,1,0,93.8,0,true,active
313,1,47,1499.4,133282,298,2,0,88.9,1,true,active
314,1,44,1751.1,149200,322.1,1,0,83.9,0,true,active
315,1,38,1654.7,147219,264.6,2,0,87.9,1,true,active
316,1,41,1660.8,147299,281.9,1,0,111.4,0,true,active
317,1,51,1710.2,137904,286.4,1,0,91.6,0,true,active
318,1,51,1652.2,136420,290.5,1,0,70.9,0,true,active
319,1,44,1828.9,139922,282.1,1,0,87.6,0,true,active
320,1,42,1743.5,138377,300.1,1,0,90.7,0,true,active
321,1,42,1804.8,137885,286.5,1,0,105.8,0,true,active
322,1,48,1757.5,138140,281.2,1,0,90.3,0,true,active
323,1,39,1816.9,129204,291.3,1,0,88.2,0,true,active
324,1,35,1825.4,129332,295.3,1,0,93,0,true,active
325,1,40,1827.3,138333,307.8,1,0,90.9,0,true,active
326,1,58,1812.9,123100,290.3,1,0,87.5,0,false,active
327,1,53,1813.6,118522,301.7,1,0,98,0,true,active
328,1,44,1807.1,117994,299.4,1,0,88.5,0,true,active
329,1,51,1768.8,118002,309.9,1,0,86.3,0,true,active
330,1,47,1816,118421,315,1,0,85,0,true,active
331,1,42,1572.6,114771,307.4,1,0,105,0,true,active
332,1,56,1727.6,117762,278.5,3,0,88.4,1,true,active
333,1,50,1510.3,110688,276.5,1,0,96.5,0,true,active
334,1,45,1532.2,113939,295.9,1,0,85.2,0,true,active
335,1,42,1512.8,121125,278,1,0,94.2,0,true,active
336,1,45,1501.3,110386,296.1,1,0,93.5,0,true,active
337,1,50,1526.3,115827,293.3,1,0,87.1,0,true,active
338,1,47,1515.7,119944,284.1,1,0,88.5,0,true,active
339,1,44,1674,115732,303.1,1,0,70,0,true,active
340,1,46,1534.2,112045,296.1,1,0,87.5,0,true,active
341,1,51,1811.4,118262,302.6,1,0,69.5,0,true,active
342,1,54,933.4,98738,297.3,1,0,70.6,0,false,active
343,1,61,923.6,87546,265.7,2,0,83.4,0,false,active
344,1,50,1200.1,101146,273.7,1,0,113,0,true,active
345,1,51,955.5,82955,271.5,1,0,108.3,0,true,active
346,1,52,930.4,72167,267.7,1,0,85.4,0,false,active
347,1,68,925.4,86124,288.4,1,0,98.3,0,false,active
348,1,61,1131.8,99559,284.8,1,0,95.2,0,true,active
349,1,60,917.5,72048,292.9,1,0,91.6,0,true,active
350,1,55,904.8,62985,289,1,0,68.5,0,true,active
351,1,64,818.4,89373,283.9,1,0,70.7,0,false,active
352,1,66,995.7,90512,280.9,1,0,95.4,0,true,active
353,1,56,786.7,78965,273.8,1,0,108.2,0,true,active
354,1,55,786.5,76517,271.6,1,0,89.3,0,true,active
355,1,66,740.8,75583,289.6,1,0,87,0,false,active
356,1,73,845,83897,290.5,1,0,93.7,0,true,active
357,1,61,793.3,77799,270.4,1,0,105.1,0,true,active
358,1,53,752.8,75535,299.8,1,0,84.9,0,true,active
359,1,49,877,79425,288.5,1,0,87.4,0,false,active
360,1,80,790.1,76969,293.7,1,0,93.2,0,false,active
361,1,56,1490.4,141452,302.9,1,0,76.1,0,true,active
