path	branch	head	dirty_entries	ignored_evidence_files	node_modules	node_modules_kind	node_modules_target	dist_dirs	has_public	has_artifacts	has_test_results	merged_into_ship	structural_size_class
C:/Users/david/projects/atomic-acres-browser-arena	agent/rig-weapon-hud-source-20260722	1fe03af1	0	18	yes	real	-	1	yes	yes	yes	no	B_installed_onedist
C:/c/Users/david/projects/atomic-acres-pass68-benchmark-fetch-fix	contrib/dave-gaming-pc/hermes/pass68-benchmark-fetch-fix	aefa2c44	0	2	yes	real	-	1	yes	yes	no	no	B_installed_onedist
C:/tmp/p66-functional-fixes	contrib/dave-gaming-pc/codex/pass66-functional-fixes	b80cf976	0	1	yes	link	/c/Users/david/Documents/Codex/2026-07-25/prepare-a-large-and-elaborate-plan/work/atomic-acres-pass66-integration/node_modules	1	yes	yes	no	no	B_installed_onedist
C:/tmp/p66-interaction-glass-8127	contrib/dave-gaming-pc/codex/pass66-interaction-glass-8127	675df63b	0	42	yes	link	/c/Users/david/Documents/Codex/2026-07-25/prepare-a-large-and-elaborate-plan/work/atomic-acres-pass66-integration/node_modules	1	yes	yes	no	no	B_installed_onedist
C:/tmp/p66-ui-hud-reskin	contrib/dave-gaming-pc/codex/pass66-ui-hud-reskin	ba48d44b	0	57	yes	real	-	1	yes	yes	no	no	B_installed_onedist
C:/tmp/p66audit	contrib/dave-gaming-pc/codex/pass66-final-regression-audit	1fc15265	0	2	yes	link	/c/Users/david/Documents/Codex/2026-07-25/prepare-a-large-and-elaborate-plan/work/atomic-acres-pass66-integration/node_modules	1	yes	yes	no	no	B_installed_onedist
C:/tmp/p66gate	contrib/dave-gaming-pc/codex/pass66-release-gate-hardening	cb0a9882	0	0	yes	link	/c/Users/david/Documents/Codex/2026-07-25/prepare-a-large-and-elaborate-plan/work/atomic-acres-pass66-integration/node_modules	0	yes	no	no	no	C_installed_nodist
C:/tmp/p66provenance	contrib/dave-gaming-pc/codex/pass66-preview-provenance	bd18a14b	0	2	yes	link	/c/Users/david/Documents/Codex/2026-07-25/prepare-a-large-and-elaborate-plan/work/atomic-acres-pass65-integration/node_modules	0	yes	yes	no	no	C_installed_nodist
C:/Users/david/AppData/Local/Temp/aa-tower-verify	(detached)	a764005c	2	2	no	-	-	7	yes	yes	no	yes	D_noinstall_dist
C:/Users/david/AppData/Local/Temp/aa-verify	(detached)	a852a6d9	0	1	yes	real	-	1	yes	yes	no	yes	B_installed_onedist
