no_dist0	983774	C:/Users/david/Documents/Codex/2026-07-22/in/work/atomic-acres-gh-pages-pass55
yes_dist2+	1035669	C:/Users/david/projects/aa-artstyle-cap
no_dist1	610124	C:/Users/david/Documents/Codex/2026-08-09/i-ve/work/pass71-ci-debris-readiness
no_dist2+	2382968	C:/Users/david/AppData/Local/Temp/aa-tower-verify
yes_dist0	288266	C:/tmp/p66gate
yes_dist1	TIMEOUT	C:/Users/david/projects/atomic-acres-browser-arena
no_dist0	51908	C:/Users/david/Documents/Codex/2026-07-25/prepare-a-large-and-elaborate-plan/work/atomic-acres-pass65-foundation
no_dist2+	2378736	C:/Users/david/projects/aa-baseline-hf396
yes_dist2+	7961238	C:/Users/david/projects/aa-base-c736d48c
no_dist1	607280	C:/Users/david/Documents/Codex/2026-08-09/i-ve/work/pass71-hf303-quality-visual
yes_dist0	288302	C:/tmp/p66provenance
yes_dist1	TIMEOUT	C:/c/Users/david/projects/atomic-acres-pass68-benchmark-fetch-fix
SMALL	2382968	C:/Users/david/AppData/Local/Temp/aa-tower-verify
SMALL	609628	C:/Users/david/Documents/Codex/2026-08-09/i-ve/work/pass71-quality-baseline-floor-audit
SMALL	2378752	C:/Users/david/projects/atomic-acres-gauntlet/.gauntlet-tmp/hf387-prefix-wt
MEDIUM	288266	C:/tmp/p66gate
MEDIUM	440740	C:/Users/david/Documents/Codex/2026-08-09/i-ve/work/pass71-hf308-acceptance-registration
LARGE	4685804	C:/Users/david/projects/atomic-acres-browser-arena
LARGE	52642	C:/Users/david/Documents/Codex/2026-07-25/prepare-a-large-and-elaborate-plan/work/atomic-acres-pass65-decisions
LARGE	521234	C:/Users/david/Documents/Codex/2026-07-25/prepare-a-large-and-elaborate-plan/work/atomic-acres-pass65-menu-lifecycle-v3
LARGE	1331957	C:/Users/david/Documents/Codex/2026-07-25/prepare-a-large-and-elaborate-plan/work/atomic-acres-pass66-media
