
=== nuketown2 === 10 spawns, in-envelope 100% (floor 100%, reach 100%), POI median 10.31 m, cover max 3.4 m, standoff min 1.75 m, open arc min 0.389, cross-team min 38 m, enemy-LOS pairs 0
  team  x       z       y     floor(src)      route   jump  cover   poi   stand   arc   los(nearest)  verdict
  0    -14.0   -19.0    1.7  0.00 collider    yes     yes     2.8    0.5   2.75  0.81  0             ok
  0     -7.0   -20.0    1.7  0.00 collider    yes     yes     1.3    7.2   3.47  0.81  0             ok
  0      0.0   -19.0    1.7  0.00 collider    yes     yes     3.4   10.3   3.40  0.86  0             ok
  0      7.0   -20.0    1.7  0.00 collider    yes     yes     1.8   12.5   1.75  0.39  0             ok
  0     14.0   -19.0    1.7  0.00 collider    yes     yes     2.8   10.7   2.75  0.81  0             ok
  1     14.0    19.0    1.7  0.00 collider    yes     yes     2.8    0.5   2.75  0.81  0             ok
  1      7.0    20.0    1.7  0.00 collider    yes     yes     1.3    7.2   3.47  0.81  0             ok
  1      0.0    19.0    1.7  0.00 collider    yes     yes     3.4   10.3   3.40  0.86  0             ok
  1     -7.0    20.0    1.7  0.00 collider    yes     yes     1.8   12.5   1.75  0.39  0             ok
  1    -14.0    19.0    1.7  0.00 collider    yes     yes     2.8   10.7   2.75  0.81  0             ok
